Company Name,Symbol,Country,Sector,Industry,Last EPS,3 years av,Last Growth,EPS average Growth,EPS median Growth,Years of Data,Debt to Equity,NWC per share,ROE,Free Cash Flow,Growth percentile,Total Growth percentile,Last Growth percentile,Total last Growth percentile,NWC percentile,DER percentile,Score,Performance
Schlumberger N.V.,SLB,France,Energy,Oilfield Services/Equipment,2.4,-1.29,0.81,0.65,0.81,4,0.67,3.14,0.19,1092000000,0.888888889,0.611464968,0.444444444,0.334394904,0.666666667,0.722222222,0,Outperformer
San Juan Basin Royalty Trust,SJT,United States,Energy,Oil & Gas Production,1.7,0.87,1.16,1.64,1.16,4,0,0.02,26.14,,0.833333333,0.796178344,0.427083333,0.455414013,0.457894737,0.112359551,29.4,Outperformer
Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,SHEL,Netherlands,Energy,Oil & Gas Production,11.4,3.67,1.22,0.24,1.22,4,0.43,6.94,0.22,7073000000,0.442708333,0.433121019,0.46875,0.49044586,0.926315789,0.511235955,8.6,Regular growth
Seadrill Limited Common Shares,SDRL,,Energy,Oil & Gas Production,,-58.78,-2.82,-2.82,-2.82,3,0.2,12.23,1.89,84000000,0.125,0.101910828,0.041666667,0.025477707,0.947368421,0.337078652,,Underperformer
SandRidge Energy Inc.,SD,United States,Energy,Oil & Gas Production,6.5,0.63,1.08,0.96,1.08,4,0,5.53,0.5,24155000,0.708333333,0.694267516,0.395833333,0.433121019,0.894736842,0.112359551,5.6,Regular growth
Sabine Royalty Trust,SBR,United States,Energy,Oil & Gas Production,8.4,4.89,1.12,0.54,0.74,4,0,0.42,10.75,16693920,0.5625,0.560509554,0.416666667,0.445859873,0.663157895,0.112359551,20.8,Regular growth
SilverBow Resorces Inc.,SBOW,United States,Energy,Oil & Gas Production,16.9,-0.88,1.64,-0.26,1.25,4,0.65,-2.27,0.43,-18522000,0.333333333,0.27388535,0.526041667,0.557324841,0.115789474,0.646067416,1.4,Regular growth
Range Resources Corporation,RRC,United States,Energy,Oil & Gas Production,4.7,1.12,1.91,1.34,1.55,4,0.52,-0.18,0.41,-1598000,0.791666667,0.770700637,0.572916667,0.617834395,0.378947368,0.578651685,3.2,Regular growth
Ranger Energy Services Inc. Class A,RNGR,United States,Energy,Oilfield Services/Equipment,0.7,0.01,0.03,-1.79,0.03,4,0.07,2.77,0.06,-2800000,0.111111111,0.133757962,0.166666667,0.124203822,0.555555556,0.277777778,0.3,Underperformer
Transocean Ltd (Switzerland),RIG,Switzerland,Energy,Oil & Gas Production,-0.9,-0.91,0.04,0.19,0.04,4,0.72,0.93,-0.06,-94000000,0.411458333,0.410828025,0.104166667,0.133757962,0.768421053,0.707865169,-0.3,Regular growth
RPC Inc.,RES,United States,Energy,Oilfield Services/Equipment,1,0.01,32.67,10.75,1.03,4,0.03,2.53,0.25,77256000,1,0.98089172,1,0.98089172,0.5,0.166666667,2.8,Outperformer
Riley Exploration Permian Inc.,REPX,United States,Energy,Oil & Gas Production,6,-0.77,2.43,-1.65,-0.02,4,1,-1.99,0.35,21155000,0.177083333,0.152866242,0.635416667,0.684713376,0.147368421,0.808988764,0.3,Underperformer
Ring Energy Inc.,REI,United States,Energy,Oil & Gas Production,1,-0.82,31.67,7.92,1.01,4,0.59,-0.48,0.21,14035742,0.958333333,0.961783439,0.96875,0.974522293,0.294736842,0.617977528,0.1,Outperformer
Pioneer Natural Resources Company,PXD,United States,Energy,Oil & Gas Production,31.1,12.84,2.62,3.16,2.62,4,0.23,-2.14,0.35,1056000000,0.895833333,0.904458599,0.677083333,0.713375796,0.126315789,0.387640449,23.4,Outperformer
Permianville Royalty Trust Trust Units ,PVL,United States,Energy,Oil & Gas Production,0.4,0.22,3.32,0.82,-0.38,4,0,0.04,0.22,,0.65625,0.662420382,0.78125,0.802547771,0.484210526,0.112359551,1.9,Regular growth
ProPetro Holding Corp.,PUMP,United States,Energy,Oilfield Services/Equipment,0,-0.52,1.04,-0.05,0.5,4,0.09,0.69,0,5018000,0.555555556,0.315286624,0.722222222,0.417197452,0.222222222,0.333333333,0.2,Regular growth
Patterson-UTI Energy Inc.,PTEN,United States,Energy,Oil & Gas Production,0.7,-2.31,1.21,0.13,0.21,4,0.49,1.14,0.09,-4346000,0.395833333,0.388535032,0.453125,0.477707006,0.789473684,0.54494382,-1.6,Regular growth
Phillips 66,PSX,United States,Energy,Integrated oil Companies,23.3,5.73,6.84,1.94,1.33,4,0.61,7.76,0.32,1830000000,0.733333333,0.821656051,0.733333333,0.898089172,0.692307692,0.423076923,17.9,Regular growth
Portage Biotech Inc.,PRTG,Canada,Energy,Oil & Gas Production,-6.5,-3.04,-4.03,-1.92,-1.76,4,0,0.18,-1.39,-3453000,0.135416667,0.114649682,0.020833333,0.01910828,0.589473684,0.112359551,-1,Underperformer
PermRock Royalty Trust Trust Units,PRT,United States,Energy,Oil & Gas Production,1,0.59,0.67,0.92,0.67,4,0,0.08,0.15,,0.697916667,0.687898089,0.28125,0.28343949,0.510526316,0.112359551,1.9,Regular growth
Permian Resources Corporation Class A,PR,United States,Energy,Oil & Gas Production,1.6,-0.13,2.5,-12.77,1.19,4,0.39,-0.55,0.09,89783000,0.010416667,0.012738854,0.651041667,0.697452229,0.284210526,0.471910112,0.4,Underperformer
Powell Industries Inc.,POWL,United States,Energy,Electrical Products,1.1,0.87,22,10.52,10.52,3,0,16.76,0.05,49150000,0.966666667,0.974522293,1,0.955414013,0.8,0.034482759,1.5,Outperformer
PrimeEnergy Resources Corporation,PNRG,United States,Energy,Oil & Gas Production,17.9,5.85,22.62,7.45,1.66,4,,-1.45,0.35,15240000,0.947916667,0.955414013,0.947916667,0.961783439,0.178947368,,,Outperformer
Plug Power Inc.,PLUG,United States,Energy,Industrial Machinery/Components,-1.2,-1.25,-0.52,-1.23,-0.52,4,0.28,2.1,-0.18,-410401000,0.111731844,0.197452229,0.245810056,0.076433121,0.357541899,0.407303371,-0.7,Underperformer
PHX Minerals Inc.,PHX,United States,Energy,Oil & Gas Production,0.6,-0.35,3.46,2.14,2.14,3,0.26,0.16,0.19,-6555314,0.864583333,0.834394904,0.8125,0.821656051,0.563157895,0.404494382,0.8,Outperformer
Pedevco Corp.,PED,United States,Energy,Oil & Gas Production,0,-0.15,2.5,0.8,0.96,4,0,0.16,0.03,3051000,0.645833333,0.656050955,0.651041667,0.697452229,0.563157895,0.112359551,0.8,Regular growth
Permian Basin Royalty Trust,PBT,United States,Energy,Oil & Gas Production,1.1,0.54,4,1.18,-0.04,4,0,0.02,191.62,,0.739583333,0.738853503,0.84375,0.840764331,0.457894737,0.112359551,247.4,Regular growth
PBF Energy Inc. Class A,PBF,United States,Energy,Integrated oil Companies,22.8,4.37,11.02,2.26,1.16,4,,,0.57,-139200000,0.8,0.840764331,0.866666667,0.929936306,,,,Regular growth
Par Pacific Holdings Inc. ,PARR,United States,Energy,Oil & Gas Production,6.1,-1,5.34,-1.48,0.82,4,,,0.57,155629000,0.197916667,0.171974522,0.875,0.866242038,,,,Underperformer
Plains GP Holdings L.P. Class A Units representing Limited Partner Interests,PAGP,United States,Energy,Natural Gas Distribution,0.9,-0.63,1.77,0.1,1.1,4,0.56,-1.4,0.01,1011000000,0.386363636,0.378980892,0.857142857,0.585987261,0.222222222,0.25,-0.6,Regular growth
Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,PAA,United States,Energy,Natural Gas Distribution,1.2,-0.7,1.16,-0.05,1.14,4,0.56,-0.39,0.08,352000000,0.227272727,0.315286624,0.761904762,0.455414013,0.444444444,0.25,-0.6,Regular growth
Occidental Petroleum Corporation,OXY,United States,Energy,Oil & Gas Production,12.4,-1.03,6.85,-1.68,1.09,4,0.71,-0.61,0.42,1505000000,0.166666667,0.146496815,0.90625,0.904458599,0.263157895,0.696629213,1.4,Underperformer
Ovintiv Inc. (DE),OVV,Canada,Energy,Oil & Gas Production,14.1,-1.36,1.65,-8.07,1.23,4,0.74,-7.19,0.47,72000000,0.052083333,0.038216561,0.541666667,0.566878981,0.042105263,0.719101124,0.5,Underperformer
Oceaneering International Inc.,OII,United States,Energy,Oilfield Services/Equipment,0.3,-1.75,1.52,0.67,0.9,4,0.99,5.94,0.05,53663000,0.944444444,0.617834395,0.833333333,0.547770701,0.833333333,0.833333333,-1.4,Outperformer
Nuvve Holding Corp.,NVVE,China,Energy,Oil Refining/Marketing,-1.2,-1.94,0.73,-7.52,-7.52,3,0.52,0.26,-0.88,2749777,0.125,0.057324841,0.6875,0.302547771,0.125,0.5625,-1.2,Underperformer
Nustar Energy L.P.  Common Units,NS,United States,Energy,Natural Gas Distribution,0.4,-1.26,1.36,0.56,0.69,4,3.27,-0.45,0.16,113169000,0.590909091,0.573248408,0.80952381,0.522292994,0.388888889,0.888888889,-0.8,Regular growth
North European Oil Royality Trust,NRT,United States,Energy,Oil & Gas Production,1.9,0.88,3.33,1.76,1.76,3,0,0.1,43.55,-7359226,0.84375,0.802547771,0.791666667,0.808917197,0.531578947,0.112359551,64.3,Outperformer
Natural Resource Partners LP Limited Partnership,NRP,United States,Energy,Coal Mining,13.4,3,1.78,0.73,1.52,4,0.41,0.59,0.56,78942000,0.454545455,0.643312102,0.272727273,0.592356688,0.454545455,0.909090909,1.8,Regular growth
Northern Oil and Gas Inc.,NOG,United States,Energy,Oil & Gas Production,8.9,-4.25,69.62,20.28,0.99,4,1.46,-1.43,1.04,-64874000,0.989583333,0.993630573,0.989583333,0.993630573,0.189473684,0.865168539,-0.7,Outperformer
Nine Energy Service Inc.,NINE,United States,Energy,Oilfield Services/Equipment,0.5,-4.81,1.21,0.44,0.83,4,-13.91,2.95,-0.61,-13685000,0.833333333,0.541401274,0.777777778,0.477707006,0.611111111,0.111111111,-8.5,Regular growth
Natural Gas Services Group Inc.,NGS,United States,Energy,Oilfield Services/Equipment,-0.1,-0.2,0.93,-1.31,0.93,4,0.55,1.61,0,-32029000,0.277777778,0.191082803,0.555555556,0.363057325,0.333333333,0.666666667,0.2,Underperformer
NCS Multistage Holdings Inc.,NCSM,United States,Energy,Oilfield Services/Equipment,-0.5,-8.93,0.77,0.32,0.77,4,0.2,28.36,-0.01,-1053000,0.777777778,0.503184713,0.333333333,0.318471338,1,0.444444444,-12.3,Regular growth
NACCO Industries Inc.,NC,United States,Energy,Coal Mining,10.1,6.28,0.5,0.69,0.5,4,0.07,29.87,0.17,10777000,0.363636364,0.627388535,0.090909091,0.242038217,0.909090909,0.181818182,6.4,Regular growth
Nabors Industries Ltd.,NBR,Bermuda,Energy,Oil & Gas Production,-40.5,-78.6,0.47,0.23,0.35,4,1.81,40.61,-0.29,23715000,0.427083333,0.426751592,0.229166667,0.23566879,0.989473684,0.921348315,-60,Regular growth
Mexco Energy Corporation,MXC,United States,Energy,Oil & Gas Production,2.1,1.17,0.6,6.23,2.6,4,0,1.52,0.28,-293803,0.9375,0.942675159,0.25,0.261146497,0.842105263,0.112359551,4.7,Outperformer
MV Oil Trust Units of Beneficial Interests,MVO,United States,Energy,Oil & Gas Production,2.2,1.23,1.25,0.58,1.01,4,0,0.12,3.71,,0.59375,0.589171975,0.479166667,0.5,0.547368421,0.112359551,6.9,Regular growth
Murphy Oil Corporation,MUR,United States,Energy,Oil & Gas Production,6.1,-0.61,13.77,4.21,0.94,4,0.43,-0.03,0.19,225752000,0.916666667,0.923566879,0.9375,0.942675159,0.431578947,0.511235955,2.3,Outperformer
Mesa Royalty Trust,MTR,United States,Energy,Oil & Gas Production,2,0.9,3.87,1.19,0.34,4,0,0.88,1.37,,0.75,0.74522293,0.833333333,0.834394904,0.747368421,0.112359551,6.9,Regular growth
Matador Resources Company,MTDR,United States,Energy,Oil & Gas Production,10.1,3.3,1.06,-1.6,1.06,4,0.56,-0.09,0.37,37100000,0.1875,0.159235669,0.385416667,0.426751592,0.415789474,0.606741573,2.9,Underperformer
Marathon Oil Corporation,MRO,United States,Energy,Oil & Gas Production,5.3,1.54,3.38,0.31,1.66,4,0.51,-1.13,0.32,573000000,0.5,0.49044586,0.802083333,0.815286624,0.221052632,0.561797753,2.9,Regular growth
MPLX LP Common Units Representing Limited Partner Interests,MPLX,United States,Energy,Natural Gas Distribution,3.8,1.94,0.31,1.03,0.31,4,,,0.31,1244000000,0.681818182,0.700636943,0.333333333,0.194267516,,,,Regular growth
Marathon Petroleum Corporation,MPC,United States,Energy,Integrated oil Companies,28.3,9.42,0.86,-0.66,0.86,4,0.87,14.64,0.41,4533000000,0.2,0.23566879,0.266666667,0.343949045,1,0.615384615,9.8,Regular growth
Martin Midstream Partners L.P. Limited Partnership,MMLP,United States,Energy,Oil Refining/Marketing,-0.3,-0.15,-25,-7.7,0.94,4,-7.67,0.8,0.17,-979000,0.0625,0.050955414,0.0625,0.006369427,0.3125,0.0625,-0.1,Underperformer
Magnolia Oil & Gas Corporation Class A,MGY,United States,Energy,Oil & Gas Production,4.7,-0.07,1,-8.21,1,4,0.21,2.67,0.51,58139000,0.041666667,0.031847134,0.34375,0.391719745,0.863157895,0.353932584,1.1,Underperformer
MGE Energy Inc,MGEE,United States,Energy,Electric Utilities: Central,3.1,2.86,0.05,0.07,0.05,4,0.65,2.59,0.1,24450000,0.628571429,0.369426752,0.557142857,0.140127389,0.771428571,0.228571429,3.2,Regular growth
Ramaco Resources Inc. Class B,METCB,United States,Energy,Coal Mining,2.6,1.13,1.89,3.06,1.89,4,0.33,0.51,0.38,52990000,0.954545455,0.888535032,0.409090909,0.608280255,0.318181818,0.772727273,-0.7,Outperformer
Ramaco Resources Inc. Class A,METC,United States,Energy,Coal Mining,2.6,1.13,1.89,3.06,1.89,4,0.33,0.51,0.38,52990000,0.954545455,0.888535032,0.409090909,0.608280255,0.318181818,0.772727273,-0.7,Outperformer
Marine Petroleum Trust Units of Beneficial Interest,MARPS,United States,Energy,Oil & Gas Production,0.7,0.46,0.15,1.98,0.15,4,0,0.48,1.41,,0.854166667,0.828025478,0.151041667,0.165605096,0.673684211,0.112359551,3.1,Outperformer
Littelfuse Inc.,LFUS,United States,Energy,Electrical Products,14.9,10.54,0.31,0.47,0.31,4,0.43,39.24,0.17,139842000,0.6,0.547770701,0.6,0.194267516,1,0.620689655,17.3,Regular growth
Liberty Energy Inc. Class A,LBRT,United States,Energy,Oilfield Services/Equipment,2.1,-0.09,3.05,-0.09,0.24,4,0.25,1.62,0.27,102522000,0.5,0.305732484,0.944444444,0.76433121,0.388888889,0.555555556,1.3,Regular growth
Kimbell Royalty Partners Common Units Representing Limited Partner Interests,KRP,United States,Energy,Oil & Gas Production,1.7,-0.87,2.37,1.08,1.11,4,0.29,1.22,0.14,-12407083,0.71875,0.710191083,0.625,0.675159236,0.8,0.426966292,0.2,Regular growth
Kosmos Energy Ltd. Common Shares (DE),KOS,Bermuda,Energy,Oil & Gas Production,0.5,-0.24,3.53,-0.65,0.81,4,2.39,-0.2,0.29,54384000,0.270833333,0.242038217,0.822916667,0.828025478,0.357894737,0.943820225,0.3,Regular growth
KLX Energy Services Holdings Inc.,KLXE,United States,Energy,Oilfield Services/Equipment,-0.3,-24.25,0.99,-0.18,-0.18,3,7.38,8,0.2,43800000,0.444444444,0.292993631,0.611111111,0.382165605,0.944444444,1,-18.8,Regular growth
Indonesia Energy Corporation Limited Ordinary Shares,INDO,,Energy,Oil & Gas Production,-0.3,-0.7,0.57,-0.55,0.13,4,0.02,0.54,-0.18,,0.28125,0.248407643,0.239583333,0.251592357,0.7,0.247191011,-0.2,Regular growth
Independence Contract Drilling Inc.,ICD,,Energy,Oil & Gas Production,-5,-11.2,0.44,0.26,0.44,4,0.76,0.41,-0.3,9167000,0.489583333,0.464968153,0.21875,0.229299363,0.652631579,0.730337079,-7.6,Regular growth
Houston American Energy Corporation,HUSA,United States,Energy,Oil & Gas Production,-0.1,-0.27,0.36,0.33,0.36,4,0.01,0.4,-0.07,428930,0.520833333,0.50955414,0.208333333,0.21656051,0.642105263,0.224719101,0.2,Regular growth
HighPeak Energy Inc.,HPK,United States,Energy,Oil & Gas Production,1.9,0.78,2.57,3.92,3.92,3,0.79,0.03,0.2,-91910000,0.90625,0.910828025,0.666666667,0.707006369,0.473684211,0.752808989,2.1,Outperformer
Helmerich & Payne Inc.,HP,United States,Energy,Oil & Gas Production,4.2,0.39,82.2,27.85,1.02,4,0.22,5.24,0.16,101012000,1,1,1,1,0.884210526,0.370786517,5.7,Outperformer
Hallador Energy Company,HNRG,United States,Energy,Coal Mining,0.6,0.08,5.58,2.29,0.9,4,0.28,-2.39,0.08,17148000,0.727272727,0.847133758,1,0.872611465,0.090909091,0.636363636,-2,Regular growth
Helix Energy Solutions Group Inc.,HLX,United States,Energy,Oilfield Services/Equipment,-0.6,-0.29,-0.41,-1.74,-0.66,4,0.27,1.09,-0.06,23366000,0.166666667,0.140127389,0.111111111,0.082802548,0.277777778,0.611111111,0,Underperformer
Hess Midstream LP Class A Share,HESM,United States,Energy,Oil & Gas Production,2,1.69,0.14,0.19,0.14,4,7.06,-0.61,0.16,161600000,0.411458333,0.410828025,0.135416667,0.159235669,0.263157895,0.988764045,0.4,Regular growth
Hess Corporation,HES,United States,Energy,Integrated oil Companies,7.1,-0.41,2.93,-0.77,1.18,4,1,3,0.26,-20000000,0.133333333,0.222929936,0.6,0.738853503,0.307692308,0.692307692,-0.3,Regular growth
Holly Energy Partners L.P.,HEP,United States,Energy,Natural Gas Distribution,1.8,1.8,-0.13,-0.04,-0.13,4,,,0.23,89250000,0.272727273,0.331210191,0.142857143,0.095541401,,,,Regular growth
Warrior Met Coal Inc.,HCC,United States,Energy,Coal Mining,12.4,4.88,3.23,2.43,3.23,4,0.1,17.7,0.44,32049000,0.818181818,0.853503185,0.818181818,0.789808917,0.818181818,0.409090909,11.3,Regular growth
Halliburton Company,HAL,United States,Energy,Oilfield Services/Equipment,1.7,0.01,0.06,-0.01,0.06,4,0.97,5.8,0.2,465000000,0.611111111,0.343949045,0.222222222,0.146496815,0.777777778,0.777777778,0.8,Regular growth
Gran Tierra Energy Inc.,GTE,Canada,Energy,Oil & Gas Production,3.8,-5.4,2.17,-6.32,1.06,4,1.61,-2.96,0.33,27301000,0.083333333,0.076433121,0.604166667,0.649681529,0.084210526,0.898876404,-0.5,Underperformer
Geopark Ltd Common Shares,GPRK,Bermuda,Energy,Oil & Gas Production,3.8,0.3,2.79,-0.3,1.26,4,3.34,0.32,1.94,48528000,0.307291667,0.26433121,0.708333333,0.732484076,0.621052632,0.966292135,1.8,Regular growth
Gulfport Energy Corporation Common Shares,GPOR,United States,Energy,Oil & Gas Production,20.3,-0.77,3,1.6,1.6,3,0.33,-5.46,0.56,18548000,0.822916667,0.789808917,0.723958333,0.748407643,0.052631579,0.438202247,4.1,Outperformer
Global Partners LP Global Partners LP Common Units representing Limited Partner Interests,GLP,United States,Energy,Oil Refining/Marketing,10,4.69,6.65,2.84,2.38,4,1.69,3.7,0.46,79634000,0.9375,0.878980892,1,0.891719745,0.6875,0.75,10.5,Outperformer
Genesis Energy L.P. Common Units,GEL,United States,Energy,Oil Refining/Marketing,0,-2,0.98,-7.26,0.51,4,2.06,0.55,0.04,41928000,0.1875,0.070063694,0.8125,0.375796178,0.25,0.8125,-0.9,Underperformer
New Concept Energy Inc,GBR,United States,Energy,Oil & Gas Production,0,0.14,3,1.28,1.8,4,0,0.77,0.04,28000,0.770833333,0.757961783,0.723958333,0.748407643,0.736842105,0.112359551,1.7,Regular growth
Diamondback Energy Inc.,FANG,United States,Energy,Oil & Gas Production,24.6,2.75,1.01,-6,1.01,4,0.37,-1.26,0.28,506000000,0.09375,0.082802548,0.354166667,0.401273885,0.2,0.460674157,2.9,Underperformer
Earthstone Energy Inc. Class A,ESTE,United States,Energy,Oil & Gas Production,4.8,1.7,5.8,-5.04,2.58,4,0.67,-2.89,0.19,-728849000,0.104166667,0.089171975,0.885416667,0.878980892,0.094736842,0.668539326,1.4,Underperformer
Enerplus Corporation,ERF,Canada,Energy,Oil & Gas Production,3.8,0.47,3.19,0.56,1.28,4,0.23,-0.31,0.85,39335000,0.578125,0.573248408,0.75,0.777070064,0.321052632,0.387640449,2.9,Regular growth
EQT Corporation,EQT,United States,Energy,Oil & Gas Production,4.4,-0.95,2.24,0.84,0.23,4,0.42,-2.12,0.16,-49520000,0.666666667,0.668789809,0.614583333,0.662420382,0.136842105,0.494382022,0.5,Regular growth
Equinor ASA,EQNR,Norway,Energy,Integrated oil Companies,9,3.32,2.43,0.31,2.43,4,0.61,9.11,0.53,2584000000,0.433333333,0.49044586,0.533333333,0.684713376,0.769230769,0.423076923,5.2,Regular growth
Epsilon Energy Ltd. Common Share,EPSN,United States,Energy,Oil & Gas Production,1.5,0.68,2.08,5.5,2.08,4,0.01,1.49,0.34,1728919,0.927083333,0.929936306,0.588541667,0.636942675,0.831578947,0.224719101,4.2,Outperformer
Evolution Petroleum Corporation Inc.,EPM,United States,Energy,Oil & Gas Production,1,0.5,0.08,-0.23,0.08,4,0,0.27,0.38,2497000,0.354166667,0.286624204,0.125,0.152866242,0.610526316,0.112359551,1,Regular growth
Empire Petroleum Corporation,EP,United States,Energy,Oil & Gas Production,0.3,-1.2,1.32,0.25,0.68,4,0.89,0.07,0.3,-2115792,0.46875,0.449044586,0.489583333,0.50955414,0.494736842,0.775280899,-0.3,Regular growth
EOG Resources Inc.,EOG,United States,Energy,Oil & Gas Production,13.2,6.72,0.65,2.7,0.65,4,0.15,10.25,0.31,1186000000,0.875,0.859872611,0.260416667,0.267515924,0.936842105,0.292134831,18.7,Outperformer
Enservco Corporation,ENSV,United States,Energy,Oilfield Services/Equipment,-0.5,-0.61,0.35,0.28,0.35,4,6.44,-0.1,-4.77,-517000,0.722222222,0.477707006,0.277777778,0.210191083,0.111111111,0.944444444,-0.4,Regular growth
GrafTech International Ltd.,EAF,United States,Energy,Industrial Machinery/Components,1.5,1.52,0.01,-0.15,-0.1,4,3.2,2.12,1.13,42997000,0.265363128,0.299363057,0.474860335,0.114649682,0.363128492,0.966292135,0.4,Regular growth
Dawson Geophysical Company,DWSN,United States,Energy,Oil & Gas Production,-0.9,-0.88,0.3,-0.25,0.15,4,0.16,0.55,-0.5,-3891000,0.34375,0.280254777,0.1875,0.184713376,0.715789474,0.303370787,-0.6,Regular growth
Devon Energy Corporation,DVN,United States,Energy,Oil & Gas Production,9.1,2.06,1.18,-1.41,1.18,4,0.55,-0.18,0.53,820000000,0.208333333,0.178343949,0.4375,0.464968153,0.378947368,0.595505618,2.4,Underperformer
Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,DMLP,United States,Energy,Oil & Gas Production,3.4,1.97,0.73,0.77,0.73,4,0.01,1.4,0.76,33845000,0.635416667,0.649681529,0.302083333,0.302547771,0.821052632,0.224719101,5.5,Regular growth
Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,DKL,United States,Energy,Natural Gas Distribution,3.7,3.88,-0.03,0.16,-0.03,4,-12.64,0.74,-1.44,46828000,0.454545455,0.401273885,0.19047619,0.108280255,0.833333333,0.055555556,3.6,Regular growth
Delek US Holdings Inc.,DK,United States,Energy,Integrated oil Companies,3.6,-2.15,3.08,0.27,0.79,4,2.42,4.02,0.24,432600000,0.333333333,0.47133758,0.666666667,0.770700637,0.615384615,0.923076923,-2.4,Regular growth
HF Sinclair Corporation,DINO,United States,Energy,Oil & Gas Production,14.3,4.65,3.21,1.1,1.91,4,0.34,17.04,0.29,409779000,0.729166667,0.722929936,0.760416667,0.78343949,0.978947368,0.449438202,18.9,Regular growth
Denbury Inc.,DEN,,Energy,Oil & Gas Production,8.8,1.99,7.49,-0.3,1.27,4,0.06,-1.7,0.31,1536000,0.307291667,0.26433121,0.916666667,0.910828025,0.168421053,0.280898876,4.8,Regular growth
Chevron Corporation,CVX,United States,Energy,Integrated oil Companies,18.3,7.82,1.25,0.69,1.25,4,0.12,3.47,0.22,5000000,0.6,0.627388535,0.333333333,0.5,0.461538462,0.230769231,12.4,Regular growth
CVR Energy Inc.,CVI,United States,Energy,Integrated oil Companies,4.6,0.77,17.4,5.61,1.1,4,1.66,,0.87,370000000,1,0.936305732,1,0.949044586,,0.846153846,,Outperformer
Coterra Energy Inc.,CTRA,United States,Energy,Oil & Gas Production,5.1,2.63,1.21,1.37,1.21,4,0.17,0.1,0.32,210000000,0.8125,0.78343949,0.453125,0.477707006,0.531578947,0.314606742,6.7,Regular growth
Cross Timbers Royalty Trust,CRT,United States,Energy,Oil & Gas Production,2,1.28,0.76,0.36,0.43,4,0,0.17,3.96,,0.541666667,0.522292994,0.3125,0.312101911,0.578947368,0.112359551,5.7,Regular growth
Comstock Resources Inc.,CRK,United States,Energy,Oil & Gas Production,4.1,0.87,4.67,0.35,-1.75,4,1.16,-1.19,,70765000,0.53125,0.515923567,0.864583333,0.859872611,0.210526316,0.820224719,,Regular growth
Callon Petroleum Company,CPE,United States,Energy,Oil & Gas Production,19.5,-12.33,1.69,-8.33,1.11,4,,2.38,0.39,-58634000,0.03125,0.025477707,0.552083333,0.573248408,0.852631579,,,Underperformer
ConocoPhillips,COP,United States,Energy,Integrated oil Companies,14.6,6.04,1.4,1.14,1.4,4,,3.25,0.39,2900000000,0.666666667,0.732484076,0.4,0.52866242,0.384615385,,,Regular growth
Civitas Resources Inc.,CIVI,United States,Energy,Oil & Gas Production,14.6,8.09,2.08,0.86,0.53,4,0.64,-11.42,0.23,-2622285000,0.677083333,0.675159236,0.588541667,0.636942675,0.010526316,0.629213483,5.7,Regular growth
Chord Energy Corporation,CHRD,United States,Energy,Oil & Gas Production,57.5,-37.19,2.72,-7.99,1.08,4,,0.54,,164659000,0.0625,0.044585987,0.697916667,0.72611465,0.7,,,Underperformer
Chesapeake Energy Corporation,CHK,United States,Energy,Oil & Gas Production,33.4,-338.29,1.03,-8.98,-8.98,3,0.21,6.87,0.54,83000000,0.020833333,0.01910828,0.364583333,0.407643312,0.915789474,0.353932584,-205.3,Underperformer
Camber Energy Inc.,CEI,United States,Energy,Oil & Gas Production,-0.1,-1.41,0.28,0.02,0.28,4,,-0.09,-1,-1036401,0.364583333,0.356687898,0.177083333,0.178343949,0.415789474,,,Regular growth
CSI Compressco LP Common Units,CCLP,United States,Energy,Oilfield Services/Equipment,-0.2,-0.84,0.8,-0.41,0.47,4,-18.35,0.3,0.87,-8566000,0.388888889,0.25477707,0.388888889,0.324840764,0.166666667,0.055555556,0.3,Regular growth
CrossAmerica Partners LP Common Units representing limited partner interests,CAPL,United States,Energy,Oil Refining/Marketing,1.6,1.69,1.86,1.9,1.86,4,41.52,-1.42,1.2,21374000,0.8125,0.815286624,0.9375,0.598726115,0.0625,1,0.2,Regular growth
Peabody Energy Corporation ,BTU,United States,Energy,Coal Mining,8.3,-2.71,2.08,-1.52,1.14,4,0.1,8.05,0.39,-54700000,0.090909091,0.165605096,0.545454545,0.636942675,0.636363636,0.409090909,-3,Underperformer
Black Stone Minerals L.P. Common units representing limited partner interests,BSM,United States,Energy,Oil & Gas Production,2.1,1.13,1.75,0.6,0.57,4,,0.74,0.39,132591000,0.604166667,0.598726115,0.5625,0.579617834,0.726315789,,,Regular growth
BP Prudhoe Bay Royalty Trust,BPT,United States,Energy,Integrated oil Companies,3.8,1.51,9.36,2.83,-0.04,4,0,0.24,13.98,-15000,0.866666667,0.872611465,0.8,0.917197452,0.076923077,0.076923077,15.3,Outperformer
BP p.l.c.,BP,United Kingdom,Energy,Integrated oil Companies,-0.8,-1.52,-1.35,-2.02,-1.35,4,0.68,0.99,-0.03,5291000000,0.066666667,0.108280255,0.066666667,0.044585987,0.230769231,0.538461538,-0.3,Underperformer
